Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,28.440001,28.459999,27.805,28.120001,2330700,28.120001
2015-08-06,28.139999,28.799999,27.969999,28.10,4095600,28.10
2015-08-05,27.049999,28.200001,27.00,28.139999,11733200,28.139999
2015-08-04,28.00,28.50,27.15,27.49,5381600,27.49
2015-08-03,26.540001,26.75,26.24,26.459999,2691600,26.459999
2015-07-31,26.33,26.709999,26.058001,26.60,1650100,26.60
2015-07-30,26.030001,26.379999,25.65,26.26,823000,26.26
2015-07-29,25.40,26.17,25.280001,26.15,1006500,26.15
2015-07-28,25.459999,25.73,25.08,25.309999,1368600,25.309999
2015-07-27,25.43,25.450001,25.10,25.290001,714700,25.290001
2015-07-24,25.440001,25.559999,25.360001,25.50,1077200,25.50
2015-07-23,25.790001,25.950001,25.379999,25.540001,504200,25.540001
2015-07-22,25.58,25.73,25.344999,25.68,944500,25.68
2015-07-21,25.57,25.690001,25.549999,25.620001,468200,25.620001
2015-07-20,26.07,26.139999,25.549999,25.639999,1182200,25.639999
2015-07-17,26.26,26.389999,25.879999,26.00,802900,26.00
2015-07-16,26.25,26.43,25.950001,26.219999,1848900,26.219999
2015-07-15,25.959999,26.25,25.83,26.15,1409000,26.15
2015-07-14,25.879999,25.98,25.74,25.879999,1083100,25.879999
2015-07-13,25.809999,25.93,25.719999,25.799999,1405600,25.799999
2015-07-10,25.33,25.74,25.24,25.65,3587000,25.65
2015-07-09,24.299999,25.059999,23.99,25.01,1554600,25.01
2015-07-08,24.370001,24.41,24.040001,24.049999,1267300,24.049999
2015-07-07,24.00,24.52,23.82,24.51,2489800,24.51
2015-07-06,23.75,24.139999,23.719999,23.93,1254000,23.93
2015-07-02,24.280001,24.34,23.809999,24.059999,740800,24.059999
2015-07-01,23.98,24.27,23.860001,24.219999,1348200,24.219999
2015-06-30,23.700001,23.90,23.450001,23.799999,1503600,23.799999
2015-06-29,24.299999,24.299999,23.42,23.57,1741200,23.57
2015-06-26,24.469999,24.610001,24.23,24.40,6572000,24.40
2015-06-25,24.200001,24.50,24.059999,24.450001,1942100,24.450001
2015-06-24,24.66,24.74,24.09,24.209999,2304300,24.209999
2015-06-23,24.65,24.77,24.50,24.65,1293300,24.65
2015-06-22,24.57,24.809999,24.450001,24.66,1138200,24.66
2015-06-19,24.68,24.799999,24.389999,24.51,1091300,24.51
2015-06-18,24.389999,24.709999,24.219999,24.65,1419700,24.65
2015-06-17,24.27,24.58,24.27,24.40,2183000,24.40
2015-06-16,24.40,24.50,24.139999,24.32,1585400,24.229999
2015-06-15,23.799999,24.450001,23.75,24.389999,2859800,24.29974
2015-06-12,24.65,24.700001,24.219999,24.32,1651600,24.229999
2015-06-11,24.719999,24.860001,24.50,24.75,865500,24.658408
2015-06-10,24.629999,25.01,24.354,24.610001,1854200,24.518927
2015-06-09,24.85,25.00,24.34,24.52,4466700,24.42926
2015-06-08,25.51,25.57,25.209999,25.290001,763500,25.196411
2015-06-05,25.879999,26.01,25.51,25.559999,1342000,25.46541
2015-06-04,25.40,25.895,25.360001,25.85,3070500,25.754338
2015-06-03,25.50,25.83,24.551001,25.450001,9422100,25.355819
2015-06-02,26.49,26.610001,26.014999,26.049999,1803800,25.953597
2015-06-01,26.25,26.549999,25.969999,26.469999,2519100,26.372042
2015-05-29,26.00,26.325001,25.65,26.09,3498900,25.99345
2015-05-28,26.129999,26.299999,25.940001,26.00,2014400,25.903782
2015-05-27,26.200001,26.41,26.040001,26.25,2184600,26.152857
2015-05-26,26.16,26.299999,25.92,26.24,1747100,26.142894
2015-05-22,26.030001,26.25,25.77,26.16,1659500,26.06319
2015-05-21,26.07,26.41,26.040001,26.129999,10505400,26.033301
2015-05-20,26.57,26.60,26.280001,26.49,849600,26.391969
2015-05-19,25.549999,26.83,25.511999,26.530001,1065200,26.431822
2015-05-18,26.290001,26.40,25.83,26.049999,1031500,25.953597
2015-05-15,26.50,26.709999,26.049999,26.190001,1130800,26.09308
2015-05-14,25.75,26.440001,25.68,26.379999,1369000,26.282375
2015-05-13,25.48,25.790001,25.469999,25.50,325600,25.405633
2015-05-12,25.09,25.629999,24.870001,25.50,1439200,25.405633
2015-05-11,25.219999,25.48,24.959999,25.25,789700,25.156558
2015-05-08,25.43,25.780001,25.18,25.209999,1058600,25.116705
2015-05-07,25.690001,25.771999,25.299999,25.299999,1164700,25.206372
2015-05-06,25.83,25.92,25.530001,25.74,1217900,25.644744
2015-05-05,25.299999,25.940001,25.146,25.370001,1048900,25.276115
2015-05-04,25.280001,25.48,25.200001,25.42,580200,25.325929
2015-05-01,25.059999,25.280001,24.940001,25.23,453000,25.136632
2015-04-30,25.07,25.112,24.809999,24.889999,375500,24.79789
2015-04-29,25.139999,25.40,25.02,25.110001,414300,25.017077
2015-04-28,25.299999,25.360001,25.129999,25.299999,212400,25.206372
2015-04-27,25.610001,25.76,25.219999,25.280001,510500,25.186448
2015-04-24,25.43,25.57,25.305,25.540001,424900,25.445486
2015-04-23,25.15,25.440001,25.072001,25.379999,605600,25.286076
2015-04-22,25.33,25.42,25.18,25.209999,1208300,25.116705
2015-04-21,25.030001,25.379999,24.902,25.24,969800,25.146595
2015-04-20,25.030001,25.25,24.790001,24.90,1149300,24.807853
2015-04-17,25.299999,25.41,24.93,24.950001,1027300,24.857669
2015-04-16,25.799999,25.90,25.379999,25.42,617900,25.325929
2015-04-15,25.459999,25.83,25.309999,25.790001,642800,25.694561
2015-04-14,25.639999,26.040001,25.35,25.469999,1222200,25.375743
2015-04-13,25.219999,25.450001,25.18,25.23,611600,25.136632
2015-04-10,25.24,25.280001,25.049999,25.219999,1089300,25.126668
2015-04-09,24.83,25.195,24.690001,25.16,755300,25.066891
2015-04-08,24.530001,24.969999,24.40,24.870001,701000,24.777965
2015-04-07,24.68,24.68,24.459999,24.58,1356400,24.489037
2015-04-06,24.50,24.709999,24.040001,24.540001,1898100,24.449186
2015-04-02,23.700001,24.17,23.57,24.129999,1053600,24.040702
2015-04-01,24.299999,24.299999,23.450001,23.66,2146300,23.572442
2015-03-31,24.48,24.48,24.00,24.299999,784300,24.210073
2015-03-30,23.950001,24.549999,23.950001,24.48,938700,24.389407
2015-03-27,23.75,24.15,23.483999,23.879999,1049700,23.791627
2015-03-26,22.969999,23.799999,22.83,23.67,1068500,23.582405
2015-03-25,23.23,23.23,23.00,23.02,1341400,22.934811
2015-03-24,23.15,23.27,22.860001,23.129999,875200,23.044403
2015-03-23,22.780001,23.254999,22.754999,23.120001,499600,23.034441
2015-03-20,22.889999,23.00,22.73,22.809999,900700,22.725587
2015-03-19,22.309999,23.00,22.281,22.690001,2300700,22.606032
2015-03-18,22.09,22.40,21.780001,22.389999,3855400,22.307141
2015-03-17,22.42,22.60,21.995001,22.07,617100,21.988326
2015-03-16,22.16,22.549999,22.01,22.43,1074300,22.346994
2015-03-13,22.200001,22.32,21.90,22.110001,1209100,22.028179
2015-03-12,21.65,22.17,21.559999,22.15,1206500,22.06803
2015-03-11,21.85,21.98,21.50,21.695,1049400,21.525047
2015-03-10,21.57,21.90,21.469999,21.780001,2110200,21.609382
2015-03-09,21.51,21.75,21.325001,21.700001,702800,21.530009
2015-03-06,21.549999,21.700001,21.25,21.440001,806900,21.272046
2015-03-05,21.700001,21.93,21.49,21.690001,668100,21.520087
2015-03-04,21.940001,21.940001,21.58,21.67,896100,21.500243
2015-03-03,21.799999,22.00,21.73,21.940001,1165600,21.768129
2015-03-02,21.66,21.90,21.58,21.84,1252900,21.668912
2015-02-27,21.809999,21.915001,21.469999,21.76,763700,21.589538
2015-02-26,21.879999,22.049999,21.59,21.709999,3010500,21.539929
