Date,Rate,High (est),Low (est)
2015-04-07,1.09267,0.0,0.0
2015-04-06,1.09586,0.0,0.0
2015-04-03,1.088,1.1,1.0761
2015-04-02,1.07984,0.0,0.0
2015-04-01,1.07661,1.0889,1.0645
2015-03-31,1.08007,1.0933,1.067
2015-03-30,1.08597,1.0981,1.074
2015-03-27,1.09071,1.1029,1.0787
2015-03-26,1.09564,0.0,0.0
2015-03-25,1.09446,1.1066,1.0824
2015-03-24,1.09095,1.103,1.079
2015-03-23,1.08115,1.0942,1.0683
2015-03-20,1.07252,1.0847,1.0605
2015-03-19,1.06945,1.0821,1.057
2015-03-18,1.06164,0.0,0.0
2015-03-17,1.05696,0.0,0.0
2015-03-16,1.05527,0.0,0.0
2015-03-13,1.05759,1.0703,1.0451
2015-03-12,1.05997,1.0723,1.0478
2015-03-11,1.06847,1.0807,1.0564
2015-03-10,1.08059,0.0,0.0
2015-03-09,1.08949,1.102,1.0771
2015-03-06,1.09949,1.1123,1.0868
2015-03-05,1.10828,0.0,0.0
2015-03-04,1.11544,1.1283,1.1027
2015-03-03,1.11878,1.132,1.1057
2015-03-02,1.11979,0.0,0.0
2015-02-27,1.125,0.0,0.0
2015-02-26,1.13284,1.1468,1.119
2015-02-25,1.13441,0.0,0.0
2015-02-24,1.13382,0.0,0.0
2015-02-23,1.13522,0.0,0.0
2015-02-20,1.13712,0.0,0.0
2015-02-19,1.13944,1.1534,1.1257
2015-02-18,1.1384,1.1517,1.1252
2015-02-17,1.13856,0.0,0.0
2015-02-16,1.14033,0.0,0.0
2015-02-13,1.13847,0.0,0.0
2015-02-12,1.13316,1.1458,1.1206
2015-02-11,1.1314,1.1442,1.1188
2015-02-10,1.13216,1.1455,1.119
2015-02-09,1.13609,1.1495,1.1228
2015-02-06,1.14111,1.1553,1.1271
2015-02-05,1.1413,1.1543,1.1285
2015-02-04,1.14221,0.0,0.0
2015-02-03,1.13572,0.0,0.0
2015-02-02,1.13216,1.146,1.1185
2015-01-30,1.13119,0.0,0.0
2015-01-29,1.13161,1.145,1.1184
2015-01-28,1.13262,0.0,0.0
2015-01-27,1.12658,1.1394,1.1139
2015-01-26,1.12484,0.0,0.0
2015-01-23,1.13888,1.1518,1.1261
2015-01-22,1.156,0.0,0.0
2015-01-21,1.15782,1.1715,1.1443
2015-01-20,1.15843,0.0,0.0
2015-01-19,1.15922,0.0,0.0
2015-01-16,1.16409,1.1783,1.15
2015-01-15,1.17398,1.1879,1.1602
2015-01-14,1.17914,1.1921,1.1663
2015-01-13,1.18201,1.1953,1.1689
2015-01-12,1.18268,1.1958,1.1697
2015-01-09,1.18089,1.1941,1.1678
2015-01-08,1.18261,0.0,0.0
2015-01-07,1.18838,0.0,0.0
2015-01-06,1.19336,1.2065,1.1804
2015-01-05,1.19819,0.0,0.0
2015-01-02,1.20677,1.2206,1.1931
2015-01-01,1.21163,1.2254,1.198
2014-12-31,1.21469,1.2282,1.2014
2014-12-30,1.21655,1.2311,1.2022
2014-12-29,1.21888,0.0,0.0
2014-12-26,1.21953,1.2339,1.2053
2014-12-25,1.21913,0.0,0.0
2014-12-24,1.21972,0.0,0.0
2014-12-23,1.22258,0.0,0.0
2014-12-22,1.22556,0.0,0.0
2014-12-19,1.22873,1.2423,1.2153
2014-12-18,1.23698,1.2511,1.223
2014-12-17,1.24703,0.0,0.0
2014-12-16,1.24669,1.2615,1.2321
2014-12-15,1.24371,0.0,0.0
2014-12-12,1.24287,0.0,0.0
2014-12-11,1.24182,0.0,0.0
2014-12-10,1.23777,1.2517,1.224
2014-12-09,1.23262,1.2469,1.2185
2014-12-08,1.23097,1.2458,1.2163
2014-12-05,1.23451,1.2499,1.2193
2014-12-04,1.2341,1.2492,1.2192
2014-12-03,1.23809,1.2535,1.2229
2014-12-02,1.2447,0.0,0.0
2014-12-01,1.24588,1.2605,1.2314
2014-11-28,1.2469,0.0,0.0
2014-11-27,1.24874,1.2636,1.2341
2014-11-26,1.24651,0.0,0.0
2014-11-25,1.24277,1.2576,1.2281
2014-11-24,1.24336,0.0,0.0
2014-11-21,1.25045,0.0,0.0
2014-11-20,1.2538,0.0,0.0
2014-11-19,1.2521,1.2672,1.2372
2014-11-18,1.24996,1.265,1.2351
2014-11-17,1.2491,1.2631,1.2352
2014-11-14,1.24623,1.2603,1.2323
2014-11-13,1.24582,1.2603,1.2315
2014-11-12,1.24513,1.2602,1.2302
2014-11-11,1.24434,1.2595,1.2293
2014-11-10,1.2438,0.0,0.0
2014-11-07,1.24246,1.2574,1.2277
2014-11-06,1.24881,1.2634,1.2344
2014-11-05,1.25171,1.2661,1.2375
2014-11-04,1.25092,1.2657,1.2363
2014-11-03,1.25203,1.266,1.2382
2014-10-31,1.25818,1.2738,1.2428
2014-10-30,1.26539,0.0,0.0
2014-10-29,1.27233,1.2872,1.2576
2014-10-28,1.27086,0.0,0.0
2014-10-27,1.26824,1.284,1.2527
2014-10-24,1.26551,1.281,1.2502
2014-10-23,1.26642,1.2821,1.2509
2014-10-22,1.27234,1.2874,1.2574
2014-10-21,1.27727,0.0,0.0
2014-10-20,1.27775,1.2935,1.2622
2014-10-17,1.27957,0.0,0.0
2014-10-16,1.2762,1.2914,1.2612
2014-10-15,1.26929,1.2851,1.2537
2014-10-14,1.26836,0.0,0.0
2014-10-13,1.26707,0.0,0.0
2014-10-10,1.26873,1.2841,1.2536
2014-10-09,1.27067,1.2863,1.2553
2014-10-08,1.26537,1.2797,1.2512
2014-10-07,1.26022,0.0,0.0
2014-10-06,1.25693,1.2725,1.2416
2014-10-03,1.2617,1.2767,1.2469
2014-10-02,1.26327,0.0,0.0
2014-10-01,1.26275,1.2783,1.2474
2014-09-30,1.26652,0.0,0.0
2014-09-29,1.27027,0.0,0.0
2014-09-26,1.27367,0.0,0.0
2014-09-25,1.27777,1.2934,1.2623
2014-09-24,1.28405,1.299,1.2693
2014-09-23,1.28558,1.3009,1.2705
2014-09-22,1.28577,1.3011,1.2706
2014-09-19,1.28804,0.0,0.0
2014-09-18,1.29076,0.0,0.0
2014-09-17,1.29486,1.311,1.2789
2014-09-16,1.29468,0.0,0.0
2014-09-15,1.29406,1.3089,1.2794
2014-09-12,1.29292,0.0,0.0
2014-09-11,1.29244,1.3078,1.2772
2014-09-10,1.29161,1.3068,1.2766
2014-09-09,1.29126,1.3065,1.2762
2014-09-08,1.29426,1.309,1.2797
2014-09-05,1.29936,1.3154,1.2835
2014-09-04,1.31006,1.3258,1.2945
2014-09-03,1.31332,0.0,0.0
2014-09-02,1.31265,1.3287,1.2968
2014-09-01,1.31463,0.0,0.0
2014-08-29,1.31788,1.3329,1.303
2014-08-28,1.3187,0.0,0.0
2014-08-27,1.31844,1.3343,1.3028
2014-08-26,1.3196,0.0,0.0
2014-08-25,1.32252,1.3371,1.3081
2014-08-22,1.32664,0.0,0.0
2014-08-21,1.32765,1.3424,1.3131
2014-08-20,1.33149,0.0,0.0
2014-08-19,1.33585,0.0,0.0
2014-08-18,1.33805,1.3532,1.3231
2014-08-15,1.33747,1.3534,1.3218
2014-08-14,1.33682,0.0,0.0
2014-08-13,1.33663,1.3523,1.3211
2014-08-12,1.33764,0.0,0.0
2014-08-11,1.33908,1.3555,1.3228
2014-08-08,1.33807,1.3543,1.322
2014-08-07,1.33701,1.3525,1.3216
2014-08-06,1.33783,0.0,0.0
2014-08-05,1.34075,1.3563,1.3254
2014-08-04,1.3414,0.0,0.0
2014-08-01,1.33983,1.3552,1.3247
2014-07-31,1.33947,0.0,0.0
2014-07-30,1.34093,1.3565,1.3256
2014-07-29,1.34297,0.0,0.0
2014-07-28,1.34401,1.3602,1.328
2014-07-25,1.34559,1.3623,1.3291
2014-07-24,1.34773,0.0,0.0
2014-07-23,1.34773,1.3631,1.3325
2014-07-22,1.3509,1.3658,1.3362
2014-07-21,1.35255,0.0,0.0
2014-07-18,1.35246,0.0,0.0
2014-07-17,1.35347,0.0,0.0
2014-07-16,1.35671,1.3726,1.341
2014-07-15,1.36067,1.3768,1.3447
2014-07-14,1.36111,0.0,0.0
2014-07-11,1.36125,1.3767,1.346
2014-07-10,1.36231,1.3778,1.347
2014-07-09,1.36141,0.0,0.0
2014-07-08,1.36009,1.3755,1.3448
2014-07-07,1.3596,0.0,0.0
2014-07-04,1.36131,1.3776,1.3452
2014-07-03,1.36489,0.0,0.0
2014-07-02,1.36742,1.3828,1.3522
2014-07-01,1.36775,0.0,0.0
2014-06-30,1.36477,1.3798,1.3499
2014-06-27,1.36238,1.3782,1.3468
2014-06-26,1.36188,0.0,0.0
2014-06-25,1.36125,1.3763,1.3463
2014-06-24,1.36016,1.3756,1.3449
2014-06-23,1.35985,1.376,1.3439
2014-06-20,1.36054,0.0,0.0
2014-06-19,1.35908,1.3746,1.3437
2014-06-18,1.35596,1.3716,1.3405
2014-06-17,1.35546,0.0,0.0
2014-06-16,1.35487,1.3714,1.3385
2014-06-13,1.35465,0.0,0.0
2014-06-12,1.35389,1.3707,1.3372
2014-06-11,1.35474,0.0,0.0
2014-06-10,1.35881,1.374,1.3438
2014-06-09,1.36324,1.3786,1.3481
2014-06-06,1.36326,0.0,0.0
2014-06-05,1.36112,1.3767,1.3458
2014-06-04,1.36142,0.0,0.0
2014-06-03,1.36138,0.0,0.0
2014-06-02,1.36158,0.0,0.0
2014-05-30,1.36125,1.3763,1.3463
2014-05-29,1.36095,1.3764,1.3457
2014-05-28,1.36268,1.3778,1.3478
2014-05-27,1.36396,1.3792,1.3489
2014-05-26,1.36355,1.3787,1.3486
2014-05-23,1.36501,0.0,0.0
2014-05-22,1.36771,1.3836,1.352
2014-05-21,1.36953,1.3861,1.3531
2014-05-20,1.37055,1.3872,1.3541
2014-05-19,1.37093,1.3865,1.3556
2014-05-16,1.37055,1.3874,1.3539
2014-05-15,1.37053,0.0,0.0
2014-05-14,1.3721,0.0,0.0
2014-05-13,1.37444,1.3908,1.3583
2014-05-12,1.3777,1.3945,1.3611
2014-05-09,1.3844,0.0,0.0
2014-05-08,1.39104,1.4081,1.3742
2014-05-07,1.39184,1.4091,1.3748
2014-05-06,1.38967,1.4067,1.3728
2014-05-05,1.38701,0.0,0.0
2014-05-02,1.38654,0.0,0.0
2014-05-01,1.38566,0.0,0.0
2014-04-30,1.38364,1.3995,1.3679
2014-04-29,1.38448,0.0,0.0
2014-04-28,1.38421,0.0,0.0
2014-04-25,1.38308,0.0,0.0
2014-04-24,1.38226,0.0,0.0
2014-04-23,1.38146,1.3987,1.3644
2014-04-22,1.38043,1.3963,1.3647
2014-04-21,1.38123,0.0,0.0
2014-04-18,1.38227,1.398,1.3667
2014-04-17,1.38299,1.3985,1.3676
2014-04-16,1.38184,0.0,0.0
2014-04-15,1.38209,0.0,0.0
2014-04-14,1.3857,0.0,0.0
2014-04-11,1.38799,0.0,0.0
2014-04-10,1.38419,0.0,0.0
2014-04-09,1.37907,1.395,1.3633
2014-04-08,1.37492,0.0,0.0
2014-04-07,1.37148,0.0,0.0
2014-04-04,1.37221,1.3891,1.3555
2014-04-03,1.37639,0.0,0.0
2014-04-02,1.37876,1.3949,1.3628
2014-04-01,1.37795,0.0,0.0
2014-03-31,1.37588,0.0,0.0
2014-03-28,1.37536,0.0,0.0
2014-03-27,1.37826,1.3936,1.3631
2014-03-26,1.38114,1.3965,1.366
2014-03-25,1.38129,1.3985,1.3643
2014-03-24,1.37934,1.3948,1.364
2014-03-21,1.37944,1.3959,1.3632
2014-03-20,1.38435,1.4003,1.3686
2014-03-19,1.39142,1.4082,1.3748
2014-03-18,1.39162,0.0,0.0
2014-03-17,1.38997,0.0,0.0
2014-03-14,1.38953,1.4068,1.3725
2014-03-13,1.3902,1.4065,1.374
2014-03-12,1.38705,0.0,0.0
2014-03-11,1.38705,1.4032,1.3711
2014-03-10,1.38761,0.0,0.0
2014-03-07,1.38344,1.4006,1.3665
2014-03-06,1.37554,1.3908,1.3604
2014-03-05,1.37372,0.0,0.0
2014-03-04,1.37544,0.0,0.0
2014-03-03,1.37643,1.3936,1.3595
2014-02-28,1.3727,1.389,1.3566
2014-02-27,1.36972,1.3865,1.3531
2014-02-26,1.37305,1.3884,1.3579
2014-02-25,1.37412,1.3902,1.3582
2014-02-24,1.37316,1.3885,1.358
2014-02-21,1.37221,0.0,0.0
2014-02-20,1.37367,0.0,0.0
2014-02-19,1.37452,1.3909,1.3583
2014-02-18,1.37188,1.3885,1.3555
2014-02-17,1.36999,1.3864,1.3538
2014-02-14,1.3671,1.3834,1.3509
2014-02-13,1.36294,0.0,0.0
2014-02-12,1.36323,0.0,0.0
2014-02-11,1.36491,1.3807,1.3493
2014-02-10,1.36172,1.3774,1.3462
2014-02-07,1.35746,0.0,0.0
2014-02-06,1.3538,1.3703,1.3375
2014-02-05,1.35184,0.0,0.0
2014-02-04,1.351,1.3677,1.3345
2014-02-03,1.35115,1.3669,1.3356
2014-01-31,1.35613,1.3722,1.3403
2014-01-30,1.36286,1.3788,1.3471
2014-01-29,1.36612,1.382,1.3505
2014-01-28,1.36705,0.0,0.0
2014-01-27,1.36822,0.0,0.0
2014-01-24,1.3656,0.0,0.0
2014-01-23,1.35884,1.3749,1.343
2014-01-22,1.35521,0.0,0.0
2014-01-21,1.35618,0.0,0.0
2014-01-20,1.35618,1.3725,1.3401
2014-01-17,1.35981,0.0,0.0
2014-01-16,1.36172,1.3776,1.346
2014-01-15,1.36441,1.3804,1.3486
2014-01-14,1.36693,1.382,1.352
2014-01-13,1.3649,0.0,0.0
2014-01-10,1.36112,1.3777,1.3448
2014-01-09,1.35943,0.0,0.0
2014-01-08,1.36127,0.0,0.0
2014-01-07,1.36183,1.3776,1.3462
2014-01-06,1.36181,1.3772,1.3465
2014-01-03,1.36701,0.0,0.0
2014-01-02,1.37434,0.0,0.0
2014-01-01,1.37876,1.3949,1.3628
2013-12-31,1.37791,0.0,0.0
2013-12-30,1.3764,1.3919,1.3611
2013-12-27,1.37297,0.0,0.0
2013-12-26,1.36839,1.3839,1.353
2013-12-25,1.3684,0.0,0.0
2013-12-24,1.3684,0.0,0.0
2013-12-23,1.36738,0.0,0.0
2013-12-20,1.36595,1.3824,1.3497
2013-12-19,1.37055,1.3857,1.3556
2013-12-18,1.37609,0.0,0.0
2013-12-17,1.37609,1.3916,1.3608
2013-12-16,1.37519,0.0,0.0
2013-12-13,1.3753,1.3923,1.3585
2013-12-12,1.37732,1.3935,1.3613
2013-12-11,1.37642,1.3927,1.3603
2013-12-10,1.37393,0.0,0.0
2013-12-09,1.36993,0.0,0.0
2013-12-06,1.36504,1.3801,1.3502
2013-12-05,1.36024,0.0,0.0
2013-12-04,1.3575,0.0,0.0
2013-12-03,1.3566,1.3718,1.3416
2013-12-02,1.35847,1.3734,1.3436
2013-11-29,1.36005,1.3761,1.3442
2013-11-28,1.35861,1.375,1.3425
2013-11-27,1.35656,0.0,0.0
2013-11-26,1.35374,1.3706,1.3371
2013-11-25,1.35187,0.0,0.0
2013-11-22,1.34801,1.3632,1.333
2013-11-21,1.34713,0.0,0.0
2013-11-20,1.3517,0.0,0.0
2013-11-19,1.351,1.3672,1.335
2013-11-18,1.3488,1.364,1.3338
2013-11-15,1.34529,0.0,0.0
2013-11-14,1.34529,1.3604,1.3303
2013-11-13,1.34259,1.3578,1.3275
2013-11-12,1.33985,0.0,0.0
2013-11-11,1.33872,1.3539,1.3238
2013-11-08,1.34261,0.0,0.0
2013-11-07,1.34857,1.3636,1.3337
2013-11-06,1.35003,0.0,0.0
2013-11-05,1.34957,0.0,0.0
2013-11-04,1.3511,1.3676,1.3348
2013-11-01,1.35807,1.3749,1.3415
2013-10-31,1.37009,1.3852,1.3552
2013-10-30,1.37571,0.0,0.0
2013-10-29,1.37815,1.3954,1.3611
2013-10-28,1.38017,1.3961,1.3645
2013-10-25,1.37999,0.0,0.0
2013-10-24,1.37874,1.3941,1.3636
2013-10-23,1.37506,1.3912,1.3591
2013-10-22,1.36967,1.3865,1.353
2013-10-21,1.36768,0.0,0.0
2013-10-18,1.36491,0.0,0.0
2013-10-17,1.35727,0.0,0.0
2013-10-16,1.35272,1.369,1.3367
2013-10-15,1.35433,1.3711,1.3378
2013-10-14,1.35584,1.3708,1.3411
2013-10-11,1.35359,1.3699,1.3375
2013-10-10,1.35261,1.3695,1.336
2013-10-09,1.35529,1.3722,1.3386
2013-10-08,1.35735,0.0,0.0
2013-10-07,1.35824,1.3732,1.3434
2013-10-04,1.36025,1.3761,1.3445
2013-10-03,1.35822,1.3736,1.343
2013-10-02,1.35413,0.0,0.0
2013-10-01,1.35262,0.0,0.0
2013-09-30,1.35086,0.0,0.0
2013-09-27,1.35069,1.3672,1.3344
2013-09-26,1.35011,0.0,0.0
2013-09-25,1.34926,0.0,0.0
2013-09-24,1.34986,1.3664,1.3336
2013-09-23,1.35209,1.3688,1.3356
2013-09-20,1.35311,1.3692,1.3372
2013-09-19,1.34749,1.3634,1.3317
2013-09-18,1.33634,1.3519,1.321
2013-09-17,1.33513,0.0,0.0
2013-09-16,1.33312,0.0,0.0
2013-09-13,1.32947,1.3457,1.3135
2013-09-12,1.32952,1.3461,1.3131
2013-09-11,1.32691,0.0,0.0
2013-09-10,1.32368,0.0,0.0
2013-09-09,1.31785,0.0,0.0
2013-09-06,1.31514,0.0,0.0
2013-09-05,1.31743,1.3325,1.3026
2013-09-04,1.31788,0.0,0.0
2013-09-03,1.31876,1.3334,1.3043
2013-09-02,1.32147,0.0,0.0
2013-08-30,1.3249,1.3404,1.3095
2013-08-29,1.33139,0.0,0.0
2013-08-28,1.3366,1.3516,1.3217
2013-08-27,1.33732,1.3532,1.3216
2013-08-26,1.33714,1.3525,1.322
2013-08-23,1.33552,1.3518,1.3194
2013-08-22,1.3364,0.0,0.0
2013-08-21,1.33891,0.0,0.0
2013-08-20,1.33635,1.3522,1.3207
2013-08-19,1.33392,0.0,0.0
2013-08-16,1.33195,1.3468,1.3172
2013-08-15,1.32752,1.3439,1.3114
2013-08-14,1.3268,1.3426,1.3112
2013-08-13,1.32939,1.3458,1.3132
2013-08-12,1.33324,1.3494,1.3173
2013-08-09,1.33647,0.0,0.0
2013-08-08,1.33385,0.0,0.0
2013-08-07,1.32969,1.3449,1.3146
2013-08-06,1.32746,1.3421,1.3129
2013-08-05,1.32561,1.341,1.3104
2013-08-02,1.32415,0.0,0.0
2013-08-01,1.3259,0.0,0.0
2013-07-31,1.3266,0.0,0.0
2013-07-30,1.32673,0.0,0.0
2013-07-29,1.32752,0.0,0.0
2013-07-26,1.3253,0.0,0.0
2013-07-25,1.32164,1.3369,1.3065
2013-07-24,1.32091,0.0,0.0
2013-07-23,1.3187,1.3348,1.3028
2013-07-22,1.3153,1.3309,1.2999
2013-07-19,1.31168,0.0,0.0
2013-07-18,1.31173,0.0,0.0
2013-07-17,1.31232,0.0,0.0
2013-07-16,1.30824,0.0,0.0
2013-07-15,1.30584,1.3211,1.2907
2013-07-12,1.30671,0.0,0.0
2013-07-11,1.29806,1.3142,1.2821
2013-07-10,1.28269,1.2968,1.2687
2013-07-09,1.28538,0.0,0.0
2013-07-08,1.28538,1.2999,1.271
2013-07-05,1.29076,1.3063,1.2754
2013-07-04,1.29736,1.3126,1.2823
2013-07-03,1.29983,1.3156,1.2842
2013-07-02,1.30354,0.0,0.0
2013-07-01,1.30384,0.0,0.0
2013-06-28,1.30368,1.3184,1.2891
2013-06-27,1.30342,1.3186,1.2885
2013-06-26,1.30707,0.0,0.0
2013-06-25,1.3109,1.3255,1.2965
2013-06-24,1.31395,0.0,0.0
2013-06-21,1.3211,0.0,0.0
2013-06-20,1.32916,1.3442,1.3143
2013-06-19,1.33798,1.3547,1.3215
2013-06-18,1.33615,1.3517,1.3207
2013-06-17,1.33404,0.0,0.0
2013-06-14,1.33404,1.3506,1.3177
2013-06-13,1.33297,1.3479,1.3182
2013-06-12,1.32966,0.0,0.0
2013-06-11,1.32511,0.0,0.0
2013-06-10,1.32227,1.3388,1.306
2013-06-07,1.32019,1.3351,1.3054
2013-06-06,1.31197,1.3267,1.2974
2013-06-05,1.30778,1.3239,1.2918
2013-06-04,1.3055,1.3205,1.2906
2013-06-03,1.30204,1.3169,1.2874
2013-05-31,1.30023,1.3147,1.2859
2013-05-30,1.29534,1.3098,1.281
2013-05-29,1.2899,0.0,0.0
2013-05-28,1.2915,1.3065,1.2767
2013-05-27,1.29344,1.3088,1.2783
2013-05-24,1.29158,1.3074,1.276
2013-05-23,1.28916,0.0,0.0
2013-05-22,1.28994,1.3045,1.2755
2013-05-21,1.28744,1.3033,1.2718
2013-05-20,1.28554,0.0,0.0
2013-05-17,1.28656,0.0,0.0
2013-05-16,1.28877,0.0,0.0
2013-05-15,1.2928,1.3085,1.2773
2013-05-14,1.29795,1.3137,1.2824
2013-05-13,1.2989,0.0,0.0
2013-05-10,1.30562,1.3202,1.2912
2013-05-09,1.31279,0.0,0.0
2013-05-08,1.31087,0.0,0.0
2013-05-07,1.30924,1.3239,1.2947
2013-05-06,1.30998,1.3257,1.2944
